id,peopleId,movieId,personName,name,peopleType
12142878,462666,201,Rhys Ifans,Xenophilius Lovegood,Actor
12142879,255178,201,Tom Felton,Draco Malfoy,Actor
12142880,346159,201,Jason Isaacs,Lucius Malfoy,Actor
12142881,290933,201,Clémence Poésy,Fleur Delacour,Actor
12142882,646874,201,Bonnie Wright,Ginny Weasley,Actor
12142883,8102501,201,Warwick Davis,Griphook,Actor
12142884,487306,201,David Thewlis,Remus Lupin,Actor
12142885,295544,201,Evanna Lynch,Luna Lovegood,Actor
12142886,7988338,201,Helen McCrory,Narcissa Malfoy,Actor
12142887,312515,201,Timothy Spall,Peter Pettigrew,Actor
12142888,262467,201,Julie Walters,Molly Weasley,Actor
12142889,281936,201,Imelda Staunton,Dolores Umbridge,Actor
12142890,260511,201,Fiona Shaw,Petunia Dursley,Actor
12142891,247837,201,Natalia Tena,Nymphadora Tonks,Actor
12142892,259115,201,Mark Williams,Arthur Weasley,Actor
12142893,323003,201,Richard Griffiths,Vernon Dursley,Actor
12142894,490365,201,Harry Melling,Dudley Dursley,Actor
12142895,358652,201,Sophie Thompson,Mafalda Hopkirk,Actor
12142896,356457,201,David O'Hara,Albert Runcorn,Actor
12142897,446935,201,Steffan Rhodri,Reginald Cattermole,Actor
12142898,403781,201,Katie Leung,Cho Chang,Actor
12142899,476249,201,Samuel Roukin,The Snatcher,Actor
12142900,247831,201,Michelle Fairley,Mrs. Granger,Actor
12142901,521062,201,Peter Mullan,Corban Yaxley,Actor
12142902,324707,201,Guy Henry,Pius Thicknesse,Actor
12142903,615829,201,Arben Bajraktaraj,Antonin Dolohov,Actor
12142904,247978,201,Ralph Ineson,Amycus Carrow,Actor
12142905,540787,201,Emil Hostina,Death Eater,Actor
12142906,444814,201,Richard Strange,Death Eater,Actor
12142907,403765,201,Granville Saxton,Death Eater,Actor
12142908,591162,201,Ashley McGuire,Death Eater,Actor
12142909,418701,201,Penelope McGhie,Death Eater,Actor
12142910,282415,201,David Ryall,Elphias Doge,Actor
12142911,261715,201,Matyelok Gibbs,Muriel Weasley,Actor
12142912,381654,201,Simon McBurney,Kreacher,Actor
12142913,351200,201,Simon Grover,Death Eater,Actor
12142914,554349,201,Freddie Stroma,Cormac McLaggen,Actor
12142915,478553,201,Jessie Cave,Lavender Brown,Actor
12142916,633607,201,Scarlett Hefner,Pansy Parkinson,Actor
12142917,417459,201,Nick Moran,Scabior,Actor
12142918,304821,201,Toby Jones,Dobby,Actor
12142919,361363,201,Kate Fleetwood,Mary Cattermole,Actor
